torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
352.15682,494.79985,349.08987,-0.090317212,0.2685301,-0.23594345,32.743984,-14.486584,27.603537,43.35178,92.943024,789.77245,296.78557,413.39991,757.56075,393.91565,398.17419,426.86188,335.98833,595.5638
352.14008,494.82284,349.11862,-0.13261649,0.26457986,-0.23929146,32.78997,-14.478861,27.607328,43.344479,93.060051,789.726,296.84009,413.35484,757.52518,393.89888,398.18616,426.88049,336.00118,595.60731
352.09865,494.77627,349.09972,-0.10285123,0.27736056,-0.25331652,32.750061,-14.48066,27.609411,43.363655,93.112953,789.6535,296.8112,413.26272,757.55317,393.91371,398.18157,426.85326,335.90861,595.56586
352.07801,494.79215,349.10869,-0.13086012,0.27031937,-0.25569937,32.789089,-14.487649,27.596399,43.360645,93.123001,789.66854,296.91056,413.26982,757.54365,393.90007,398.17609,426.84081,335.98856,595.61999
352.0489,494.74457,349.09754,-0.10100257,0.27815875,-0.27355456,32.754868,-14.478928,27.59668,43.341835,93.159882,789.62289,296.77229,413.21324,757.56139,393.90122,398.18867,426.70604,335.90907,595.46487
352.03883,494.77214,349.11572,-0.087302178,0.29239222,-0.28089249,32.750813,-14.486787,27.602554,43.352463,93.118835,789.65367,296.93973,413.24103,757.52497,393.88348,398.20116,426.82248,335.96345,595.61221
352.00528,494.73688,349.10425,-0.058027867,0.30139628,-0.29750675,32.738251,-14.493146,27.643412,43.362007,93.198906,789.61593,296.83806,413.17214,757.57339,393.91639,398.18188,426.77406,335.87865,595.50638
351.96202,494.72509,349.1056,-0.020718208,0.3195636,-0.30629265,32.703228,-14.500525,27.630592,43.348129,93.10717,789.62515,296.96334,413.19201,757.51967,393.89304,398.19783,426.81129,335.90382,595.59374
351.94221,494.72553,349.11277,-0.04764777,0.29919764,-0.28857228,32.730663,-14.502995,27.592621,43.348728,93.230072,789.57653,296.85648,413.10145,757.53714,393.8797,398.20441,426.8186,335.86421,595.49846
351.90752,494.70952,349.10251,-0.017855398,0.30529085,-0.28837156,32.693565,-14.504633,27.603321,43.349464,93.221458,789.5485,296.91369,413.02594,757.52697,393.91059,398.21135,426.83464,335.89605,595.52216
