time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz,mouth_tx,mouth_ty,mouth_tz
0.63,358.4762,500.9222,379.2304,-4.629652,7.235541,-4.209039,-4.817821,-37.63413,5.920722,87.63837,83.03551,591.669,237.1658,593.0435,608.2934,246.8992,539.4915,191.958,299.8437,694.5797,433.9012,756.7409,384.7349
0.64,358.3766,501.0603,379.2126,-4.528899,7.193007,-4.200111,-4.904329,-37.59163,5.904196,87.61717,83.02084,591.5079,237.259,592.9131,608.1901,246.9819,539.4571,191.8518,300.0073,694.5546,433.6272,756.8518,384.7236
0.65,358.2895,501.2067,379.2133,-4.571517,7.186063,-4.201491,-4.856268,-37.58256,5.919917,87.63824,82.97868,591.4915,237.4423,592.9381,608.1028,247.1691,539.3548,191.752,300.0849,694.5481,433.3919,756.9551,384.6808
0.66,358.2074,501.4274,379.1875,-4.580034,7.203329,-4.186313,-4.839891,-37.60956,5.916669,87.65752,83.01599,591.3789,237.5759,592.8233,607.964,247.2531,539.3181,191.636,300.2335,694.5341,433.1613,757.0848,384.6414
0.67,358.0479,501.5203,379.1696,-4.423462,7.150091,-4.178111,-5.019245,-37.58273,5.881114,87.67084,83.02235,591.2972,237.7283,592.7738,607.8531,247.3588,539.2797,191.5265,300.317,694.536,432.9048,757.1708,384.5971
0.68,357.9497,501.6938,379.1553,-4.549407,7.148227,-4.188964,-4.81238,-37.56808,5.941309,87.61489,83.11728,591.1995,237.9034,592.735,607.7016,247.4299,539.2192,191.432,300.3943,694.5199,432.6644,757.278,384.57
0.69,357.7936,501.8152,379.1447,-4.537031,7.142086,-4.183366,-4.811209,-37.57958,5.970374,87.62634,83.1893,591.0997,238.0817,592.6577,607.5807,247.5168,539.1381,191.3185,300.4497,694.511,432.3637,757.4069,384.5711
0.7,357.6605,501.9349,379.1386,-4.55917,7.144231,-4.195073,-4.763721,-37.58943,6.005017,87.62598,83.23588,590.9174,238.2015,592.4877,607.4211,247.5286,539.0056,191.1759,300.5678,694.5282,432.0617,757.5467,384.5145
0.71,357.481,501.9984,379.111,-4.515847,7.13582,-4.205116,-4.792777,-37.58352,6.023776,87.64708,83.22474,590.8025,238.3691,592.4303,607.2442,247.5678,538.9024,191.0727,300.6213,694.5289,431.7805,757.6655,384.4683
0.72,357.3188,502.0609,379.1051,-4.434097,7.105256,-4.186553,-4.874825,-37.5994,6.011316,87.65903,83.22064,590.665,238.5324,592.3623,607.117,247.6538,538.7945,190.9507,300.6668,694.5516,431.4782,757.8435,384.5068
0.73,357.1521,502.1164,379.0962,-4.421567,7.099666,-4.166891,-4.879476,-37.61144,6.001473,87.65324,83.25565,590.493,238.5855,592.249,606.9311,247.6733,538.6917,190.8285,300.749,694.5767,431.2728,757.9355,384.3897
0.74,356.953,502.133,379.0974,-4.364605,7.095524,-4.16665,-4.960216,-37.58546,5.999053,87.68539,83.25287,590.3163,238.7361,592.1067,606.77,247.7623,538.5644,190.6659,300.8102,694.6035,431.0035,758.0362,384.3188
0.75,356.7276,502.1194,379.1049,-4.304965,7.093278,-4.18164,-5.01432,-37.60851,6.04577,87.69442,83.27956,590.1531,238.8221,592.0018,606.6621,247.8363,538.4989,190.5279,300.8033,694.6391,430.7607,758.1128,384.2713
0.76,356.5072,502.0882,379.0997,-4.294879,7.102369,-4.202769,-4.968529,-37.63045,6.082061,87.70016,83.36678,589.9373,238.9255,591.7888,606.3957,247.8242,538.4663,190.3545,300.8688,694.6709,430.5814,758.1895,384.2005
0.77,356.2741,502.0513,379.0971,-4.291899,7.115752,-4.238264,-4.946916,-37.6688,6.111402,87.70638,83.43462,589.7545,239.0302,591.6526,606.2099,247.7979,538.359,190.2196,300.7838,694.6836,430.4798,758.3049,384.0113
0.78,356.0447,502.0169,379.11,-4.268652,7.130928,-4.271402,-4.914682,-37.69159,6.156951,87.69035,83.61565,589.5334,239.1462,591.4123,606.1032,247.8543,538.3849,190.0626,300.7667,694.6946,430.2464,758.2778,383.9416
0.79,355.7782,501.9522,379.0977,-4.314513,7.118468,-4.290336,-4.802123,-37.6544,6.18596,87.6606,83.67201,589.3746,239.3256,591.3383,605.8908,247.8105,538.4203,189.8859,300.7141,694.7204,429.9628,758.2396,383.9704
0.8,355.55,501.9109,379.1195,-4.368425,7.133313,-4.32279,-4.696049,-37.69039,6.244573,87.64621,83.81042,589.1303,239.3927,591.085,605.7043,247.7856,538.4648,189.715,300.6259,694.6983,429.7511,758.184,383.9854
0.81,355.284,501.8832,379.1123,-4.401845,7.123758,-4.359921,-4.600422,-37.66338,6.300291,87.59561,84.06724,588.9212,239.4977,590.9422,605.5626,247.8528,538.5129,189.5355,300.5604,694.6681,429.55,758.1564,383.905
0.82,355.0882,501.8792,379.097,-4.505275,7.134163,-4.362005,-4.447285,-37.68427,6.319329,87.58546,84.28983,588.6884,239.5773,590.7592,605.4154,247.8708,538.5403,189.3206,300.4565,694.6007,429.3552,758.1471,383.9678
0.83,354.8575,501.8586,379.092,-4.588789,7.148911,-4.371326,-4.345882,-37.69715,6.337979,87.58295,84.29063,588.4866,239.8543,590.7071,605.2476,247.9284,538.6322,189.078,300.4101,694.5013,429.1558,758.0314,383.9174
0.84,354.6163,501.8287,379.0542,-4.618001,7.133197,-4.353123,-4.327706,-37.66191,6.283621,87.57117,84.52885,588.2755,239.9316,590.6184,605.0688,247.963,538.7157,188.8038,300.3538,694.4213,428.9764,758.0132,383.9783
0.85,354.3767,501.8136,379.0249,-4.734024,7.165142,-4.364987,-4.200356,-37.66344,6.278021,87.57021,84.62089,588.0945,240.0962,590.5947,604.9262,248.0015,538.8233,188.5717,300.2535,694.335,428.8064,757.8893,383.8867
0.86,354.1426,501.7647,378.9999,-4.764568,7.150686,-4.331367,-4.18752,-37.63444,6.227438,87.58337,84.79117,587.837,240.2418,590.4237,604.7712,248.0306,539.0124,188.2364,300.2518,694.2139,428.6461,757.7749,383.8886
0.87,353.9012,501.7487,378.9338,-4.812053,7.164824,-4.324576,-4.157761,-37.63529,6.214791,87.59064,85.02365,587.5642,240.241,590.2203,604.6373,248.0839,539.2525,188.0004,300.0793,694.0511,428.4598,757.6459,383.9142
0.88,353.6485,501.7092,378.8603,-4.676661,7.137143,-4.333052,-4.323604,-37.62284,6.177535,87.61163,85.2634,587.2911,240.3116,590.0309,604.6384,248.2953,539.6141,187.7314,299.9492,693.8991,428.2844,757.5206,383.9488
0.89,353.4158,501.6893,378.8057,-4.625857,7.172589,-4.360442,-4.344848,-37.68135,6.174145,87.60073,85.47736,587.0721,240.4711,589.8751,604.5535,248.3942,540.0248,187.4489,299.9137,693.811,428.0732,757.3816,383.9492
0.9,353.1799,501.6715,378.7417,-4.543041,7.172457,-4.376501,-4.44558,-37.66154,6.152697,87.5994,85.6963,586.8226,240.6464,589.6847,604.5144,248.4538,540.4689,187.1791,299.8318,693.7173,427.8522,757.2018,383.8715
0.91,352.975,501.6587,378.6955,-4.491714,7.19996,-4.368743,-4.517405,-37.72245,6.123963,87.60316,85.90494,586.603,240.8119,589.5659,604.3771,248.4718,540.9555,186.9211,299.7301,693.6096,427.6329,757.0548,383.8969
0.92,352.7684,501.6555,378.6277,-4.382226,7.155809,-4.359244,-4.685595,-37.61828,6.05982,87.62898,86.0351,586.3463,240.8897,589.4645,604.2916,248.6103,541.4905,186.6554,299.6336,693.4445,427.4031,756.9265,383.909
0.93,352.5712,501.6391,378.593,-4.370495,7.196047,-4.370544,-4.732263,-37.64385,6.026706,87.65064,86.17233,586.126,241.0097,589.4465,604.1928,248.7664,541.9309,186.3708,299.5694,693.2852,427.1837,756.7874,383.9075
0.94,352.3289,501.5816,378.5279,-4.265158,7.202593,-4.401727,-4.828816,-37.62667,6.009062,87.62569,86.27059,585.9261,241.0684,589.5152,604.0303,248.8469,542.2406,186.1297,299.4494,693.1732,427.0066,756.6505,383.8819
0.95,352.126,501.578,378.4802,-4.277577,7.217984,-4.413456,-4.834977,-37.61575,5.967296,87.6343,86.20565,585.7633,241.0528,589.7353,603.8096,248.8993,542.4584,185.8372,299.3981,693.0531,426.7994,756.5572,383.8531
0.96,351.9635,501.5959,378.4488,-4.27933,7.217206,-4.419415,-4.8553,-37.58614,5.922774,87.62361,86.23174,585.6025,240.9422,589.9521,603.576,248.985,542.6237,185.611,299.2501,692.8935,426.6483,756.4594,383.8716
0.97,351.7958,501.6221,378.443,-4.261017,7.210799,-4.424192,-4.859841,-37.59894,5.858955,87.62272,86.15687,585.4366,240.8729,590.1533,603.3424,248.9868,542.7127,185.3511,299.1602,692.746,426.4657,756.3769,383.8489
0.98,351.6241,501.6239,378.4051,-4.238207,7.205978,-4.429431,-4.917977,-37.57981,5.799996,87.66212,86.19215,585.2432,240.7451,590.2847,603.1628,249.0812,542.8596,185.1088,299.0415,692.6089,426.2888,756.275,383.8458
0.99,351.4719,501.6376,378.4061,-4.23229,7.22146,-4.446378,-4.921636,-37.58806,5.785742,87.65481,86.23155,585.1562,240.8248,590.5449,602.9718,249.1884,543.063,184.8631,298.9228,692.5483,426.1041,756.2062,383.8362
1,351.3234,501.6401,378.4174,-4.261666,7.219964,-4.457766,-4.897683,-37.57903,5.764314,87.67429,86.27849,585.0218,240.8718,590.6877,602.8416,249.3498,543.32,184.6564,298.8572,692.4579,425.9458,756.1442,383.8484
1.01,351.1769,501.6343,378.3997,-4.252215,7.218364,-4.474325,-4.888307,-37.56779,5.746336,87.64679,86.40789,584.9047,240.8564,590.7702,602.6722,249.4446,543.6306,184.5279,298.7854,692.3605,425.7882,756.0619,383.7876
1.02,351.0359,501.6374,378.353,-4.321398,7.275167,-4.501833,-4.807796,-37.61067,5.782118,87.67674,86.33557,584.8497,240.907,590.9986,602.6399,249.7386,543.9205,184.3897,298.6763,692.238,425.6345,756.0099,383.8181
1.03,350.9267,501.65,378.3738,-4.35464,7.275829,-4.508037,-4.755101,-37.60417,5.766453,87.66245,86.30195,584.7998,240.9529,591.2141,602.4912,249.7865,544.2057,184.2978,298.5274,692.1116,425.5174,755.9906,383.7877
1.04,350.8004,501.662,378.4034,-4.374015,7.27527,-4.514119,-4.724692,-37.57775,5.754197,87.64542,86.27413,584.7538,240.9041,591.3737,602.2495,249.8066,544.4752,184.1606,298.46,692.022,425.4029,755.9739,383.8648
1.05,350.689,501.6625,378.4051,-4.363499,7.284037,-4.526666,-4.709583,-37.57972,5.742703,87.64011,86.16496,584.7673,240.9011,591.68,602.173,249.9213,544.7565,184.071,298.3716,691.9592,425.2966,755.9371,383.8588
1.06,350.5987,501.7014,378.446,-4.376175,7.282384,-4.546664,-4.697202,-37.56425,5.744969,87.64854,86.0727,584.7664,240.8968,591.9644,602.0483,250.0022,544.8977,183.955,298.3057,691.8892,425.1991,755.9583,383.916
1.07,350.4846,501.6844,378.4728,-4.376279,7.310976,-4.560486,-4.689103,-37.5822,5.721753,87.65988,85.91988,584.7791,240.7915,592.2349,601.913,250.062,545.094,183.8896,298.2774,691.8459,425.0805,755.9132,383.9174
1.08,350.3861,501.6843,378.5157,-4.345334,7.322927,-4.577647,-4.709234,-37.56381,5.712049,87.66005,85.85711,584.7589,240.684,592.4235,601.844,250.1217,545.1718,183.8395,298.1804,691.7894,424.9934,755.8834,383.9428
1.09,350.3023,501.6738,378.555,-4.391568,7.352395,-4.597797,-4.643432,-37.57103,5.719427,87.646,85.73514,584.7981,240.6449,592.6915,601.7682,250.132,545.2043,183.7549,298.2012,691.7688,424.9176,755.88,384.0319
1.1,350.2397,501.6837,378.6049,-4.430659,7.372889,-4.618756,-4.577476,-37.57612,5.727937,87.6541,85.67849,584.8212,240.5964,592.8659,601.7145,250.0846,545.1921,183.7049,298.1144,691.7117,424.8311,755.8644,384.1249
1.11,350.1693,501.6774,378.6543,-4.435588,7.370524,-4.625324,-4.581671,-37.56054,5.727393,87.67082,85.62942,584.8028,240.5254,592.945,601.6795,250.0304,545.1536,183.6573,298.0672,691.6763,424.7829,755.8085,384.1379
